node_type,edge_type,xcoord,ycoord
general,,103.6956785,1.354090004
,curve_slow,103.6957165,1.354094439
,curve_slow,103.6957343,1.354118091
traffic_light_wait,,103.6957243,1.354149503
general,,103.6953074,1.354419282
,curve_slow,103.6952793,1.354407086
,curve_slow,103.695266,1.354381217
general,,103.6952867,1.354345
general,,103.6956785,1.354090004
,,,
zebra_crossing_wait,,103.6953329,1.354178329
zebra_crossing_wait,,103.6953891,1.354274414
,,,
zebra_crossing_wait,,103.6958437,1.354344631
zebra_crossing_wait,,103.6958481,1.354279219
traffic_light_wait,,103.6958167,1.354288088
traffic_light_wait,,103.6957243,1.354149503
,,,
general,,103.6954017,1.354577084
,edge_slow,103.6955066,1.354503911
,edge_slow,103.6955584,1.35458004
,edge_slow,103.6956459,1.354524606
edge_slow,,103.6956655,1.354556388
,edge_slow,103.6957054,1.354527563
,curve_slow,103.6958862,1.354418173
,curve_slow,103.6958947,1.354368652
zebra_crossing_wait,,103.6958437,1.354344631
general,,103.6956489,1.354405978
,edge_slow,103.6955425,1.354472868
,edge_slow,103.6955709,1.354522019
,edge_slow,103.6956596,1.354474716
,edge_slow,103.6957054,1.354527563
,,,
general,,103.6954017,1.354577084
curve_slow,,103.6954231,1.354631039
,curve_slow,103.6954726,1.354661343
edge_slow,,103.6956655,1.354556388
,curve_slow,103.6954726,1.354661343
